SYMBOL, SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS, EQ, 20-Jul-2021,67.6,68.9,69.15,65.6,66.15,66.25,67.32,345355,232.5,4717,162378,47.02
21STCENMGM, EQ, 20-Jul-2021,22.8,22.8,22.8,22.35,22.35,22.35,22.38,1655,0.37,29,1655,100
3IINFOTECH, BE, 20-Jul-2021,9.35,9.45,9.45,8.9,9.1,9.05,9.1,4785318,435.67,8160, -, -
3MINDIA, EQ, 20-Jul-2021,24455.5,24500,24674,23932.95,24368,24258.7,24137.97,3530,852.07,1919,2138,60.57
3PLAND, BE, 20-Jul-2021,17,17.85,17.85,16.15,16.75,17.05,17.17,44196,7.59,170, -, -
5PAISA, EQ, 20-Jul-2021,538.95,542.75,549,512.05,513.9,514.1,524.33,107902,565.77,5057,39909,36.99
622GS2035, GS, 20-Jul-2021,96.6,99.1,99.2,99.1,99.2,99.2,99.15,100,0.1,2,100,100
63MOONS, EQ, 20-Jul-2021,99.2,102.85,104.15,96.3,104.15,104.15,101.81,453565,461.78,3937,305443,67.34
667GS2050, GS, 20-Jul-2021,96,96,97.73,91.2,95.5,95.5,95.09,2088,1.99,22,1788,85.63
676GS2061, GS, 20-Jul-2021,98.19,98.19,98.25,98,98,98,98,1528,1.5,19,1528,100
737GS2023, GS, 20-Jul-2021,100.77,100.77,100.77,100.77,100.77,100.77,100.77,35599,35.87,30,35599,100
A2ZINFRA, EQ, 20-Jul-2021,5.7,5.75,5.8,5.45,5.5,5.5,5.53,699046,38.64,624,474709,67.91
AAATECH, SM, 20-Jul-2021,58.45,57.1,57.1,54,54,54,55.23,15000,8.28,5,12000,80
AAKASH, EQ, 20-Jul-2021,225.35,227.1,231.05,222.55,229,228.8,227.7,81753,186.15,913,34366,42.04
AARON, EQ, 20-Jul-2021,117.35,118.95,118.95,111.5,111.5,111.55,111.98,29601,33.15,518,22220,75.07
AARTIDRUGS, EQ, 20-Jul-2021,720.55,723.5,723.5,707,712.5,713.05,713.55,192944,1376.74,8882,80193,41.56
AARTIIND, EQ, 20-Jul-2021,852.55,851.4,885,840.5,863,862.15,867.47,1889603,16391.68,49266,512896,27.14
AARTISURF, EQ, 20-Jul-2021,1415.9,1433,1468.95,1392.1,1407,1409.3,1425.21,17519,249.68,3458,7770,44.35
